Disease,Model,MAE,RMSE,R²,Train Samples,Test Samples
SARI_deaths,TensorFlow Fusion LSTM + Dense,12.542429029113714,16.843080942354852,-65.41333801328497,188,48
pneumonia_u5,TensorFlow Fusion LSTM + Dense,80.94903930773337,102.65618004166474,-6.940217110265111,188,48
TB,TensorFlow Fusion LSTM + Dense,169.00073623657227,211.76536159458453,-1.3959538135561056,188,48
SARI,TensorFlow Fusion LSTM + Dense,227.14050368467966,275.6100551802083,-2.749247626505232,188,48
ILD_deaths,TensorFlow Fusion LSTM + Dense,1019.9296438495318,1242.1142322626433,-584.7148334939253,188,48
ILI,TensorFlow Fusion LSTM + Dense,2602.4407008786998,3221.9256472937964,-12.00297179874071,188,48
