Disease,Model,MAE,RMSE,R²,Train Samples,Test Samples
SARI_deaths,TensorFlow Fusion LSTM + Dense,7.948443147871229,8.81202128617176,-0.4393110414149841,32,9
ILD_deaths,TensorFlow Fusion LSTM + Dense,42.7945671081543,43.89988837766964,-0.8123685295401883,20,5
severe_pneumonia,TensorFlow Fusion LSTM + Dense,591.8355529785156,725.0756292959817,-29.444968033962912,38,10
TB,TensorFlow Fusion LSTM + Dense,1333.2284912109376,1495.3774819503608,-2.3918107624827365,38,10
SARI,TensorFlow Fusion LSTM + Dense,1404.2742767333984,1694.3885235026405,-6.998724385938568,38,10
pneumonia,TensorFlow Fusion LSTM + Dense,1569.6178943634034,1740.2205904768446,-22.799360414992034,38,10
ILI,TensorFlow Fusion LSTM + Dense,5230.908996582031,6039.944737766343,-2.3649606089793718,38,10
cough_cold,TensorFlow Fusion LSTM + Dense,5894.42490234375,6626.616755589923,-2.2154916619822362,38,10
