Disease,Model,MAE,RMSE,R²,Train Samples,Test Samples
SARI_deaths,TensorFlow Fusion LSTM + Dense,3.858740161243848,4.8949205965803975,-4.60923376955128,188,48
pneumonia_u5,TensorFlow Fusion LSTM + Dense,89.20039862394333,103.72408004853801,-7.106275538545953,188,48
TB,TensorFlow Fusion LSTM + Dense,376.6934269269307,414.06815783325754,-8.160354102608975,188,48
ILD_deaths,TensorFlow Fusion LSTM + Dense,604.4286765654882,743.4114973847793,-208.8078309032995,188,48
SARI,TensorFlow Fusion LSTM + Dense,592.4627696077029,744.3194481762424,-26.344673524998793,188,48
ILI,TensorFlow Fusion LSTM + Dense,1122.4668269554775,1379.616448996288,-1.3841211490276781,188,48
